                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0532,                0.72643,                 1.1753,                0.87315,                0.78624,                0.86714,                0.58614,                 1.1855,                 0.7514,                 1.2475,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.0266,                0.69163,                 1.1626,                0.87664,                0.76535,                0.85732,                0.57984,                 1.1755,                 0.7776,                 1.2428,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.0253,                0.70014,                 1.1554,                0.84878,                0.75291,                0.82164,                0.53669,                 1.2318,                 0.8784,                    1.3,               0.009307,               0.009307,               0.009307
                     38,                 1.0232,                0.69562,                 1.1509,                0.84948,                0.74903,                0.80578,                0.52234,                  1.227,                0.93714,                 1.2776,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.0148,                0.68829,                 1.1528,                0.85591,                0.80307,                0.87142,                0.57015,                 1.2124,                0.76351,                 1.2469,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.0264,                0.68832,                 1.1554,                0.87021,                0.80186,                0.87043,                0.59046,                 1.1623,                 0.7685,                 1.2324,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.0158,                0.67724,                 1.1493,                0.87772,                0.79176,                0.87985,                0.58694,                 1.2039,                0.74322,                 1.2381,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.0156,                0.69375,                 1.1479,                0.83784,                0.79486,                0.85102,                0.55499,                 1.2079,                 0.8418,                 1.2823,               0.009208,               0.009208,               0.009208
                     43,                 1.0105,                 0.6768,                 1.1466,                0.87598,                0.80123,                0.87609,                0.58386,                 1.2058,                0.75864,                 1.2499,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.0014,                0.66082,                 1.1398,                0.87078,                0.82751,                0.88442,                0.59854,                  1.155,                0.69961,                 1.2348,              0.0091684,              0.0091684,              0.0091684
                     45,                0.99936,                0.65782,                 1.1412,                0.87688,                0.80244,                0.87654,                0.58574,                 1.1929,                0.73237,                 1.2526,              0.0091486,              0.0091486,              0.0091486
                     46,                0.98659,                 0.6568,                 1.1328,                0.86559,                0.76224,                 0.8598,                 0.5663,                 1.2077,                0.79604,                 1.2473,              0.0091288,              0.0091288,              0.0091288
                     47,                 0.9897,                0.64308,                 1.1312,                0.86327,                0.80886,                0.87365,                0.58571,                 1.1769,                0.72764,                 1.2544,               0.009109,               0.009109,               0.009109
                     48,                0.96127,                0.63444,                 1.1228,                0.89055,                0.78399,                0.87434,                 0.5871,                 1.1819,                0.73949,                 1.2356,              0.0090892,              0.0090892,              0.0090892
                     49,                0.97204,                0.64525,                 1.1234,                0.86819,                0.77545,                 0.8502,                 0.5698,                 1.1851,                0.77521,                 1.2642,              0.0090694,              0.0090694,              0.0090694
                     50,                0.97751,                0.64908,                 1.1293,                0.87411,                0.80886,                0.87752,                0.58791,                 1.1711,                0.73107,                 1.2353,              0.0090496,              0.0090496,              0.0090496
                     51,                0.97026,                0.64125,                 1.1255,                0.87238,                0.77017,                0.86893,                0.58551,                  1.173,                0.74849,                 1.2452,              0.0090298,              0.0090298,              0.0090298
                     52,                0.96475,                0.63801,                 1.1278,                0.86069,                0.81128,                 0.8759,                0.58852,                 1.1789,                0.71763,                 1.2591,                0.00901,                0.00901,                0.00901
                     53,                0.97162,                0.64306,                 1.1253,                0.83518,                0.82051,                0.87101,                0.58332,                 1.1811,                0.72519,                 1.2479,              0.0089902,              0.0089902,              0.0089902
                     54,                0.96552,                0.62941,                  1.121,                0.87934,                0.77013,                0.86362,                0.56238,                 1.2055,                0.77797,                 1.2536,              0.0089704,              0.0089704,              0.0089704
                     55,                0.96382,                 0.6249,                 1.1154,                0.88429,                0.80963,                0.89182,                0.59868,                 1.1762,                 0.6979,                 1.2292,              0.0089506,              0.0089506,              0.0089506
                     56,                0.95528,                0.62529,                 1.1139,                0.85887,                0.81197,                0.88438,                0.59785,                 1.1521,                 0.7066,                 1.2209,              0.0089308,              0.0089308,              0.0089308
                     57,                0.95345,                0.62525,                 1.1058,                0.85557,                0.82393,                0.88394,                0.60021,                 1.1695,                0.71036,                 1.2292,               0.008911,               0.008911,               0.008911
                     58,                0.95063,                0.61473,                 1.1091,                0.87861,                0.77045,                0.86728,                0.57308,                 1.2132,                0.76131,                  1.248,              0.0088912,              0.0088912,              0.0088912
                     59,                0.94907,                0.61311,                 1.1095,                0.84414,                0.78272,                0.85627,                0.57025,                 1.1998,                0.76658,                 1.2545,              0.0088714,              0.0088714,              0.0088714
                     60,                0.92123,                0.59954,                  1.097,                0.89427,                0.74592,                0.84855,                0.57459,                  1.202,                0.79354,                 1.2605,              0.0088516,              0.0088516,              0.0088516
                     61,                0.94198,                0.61248,                  1.108,                 0.8801,                0.80421,                0.87739,                0.59562,                 1.1577,                0.70045,                 1.2435,              0.0088318,              0.0088318,              0.0088318
                     62,                0.92964,                0.61509,                  1.101,                0.89192,                0.81119,                0.88583,                0.60824,                 1.1422,                0.68541,                 1.2117,               0.008812,               0.008812,               0.008812
                     63,                0.93236,                  0.607,                 1.1015,                0.89212,                0.72606,                0.83049,                0.55525,                 1.2125,                0.82092,                 1.2694,              0.0087922,              0.0087922,              0.0087922
                     64,                 0.9333,                0.59396,                 1.0947,                 0.8733,                0.77156,                 0.8713,                0.57099,                 1.1988,                0.77141,                  1.244,              0.0087724,              0.0087724,              0.0087724
                     65,                0.93852,                 0.6045,                  1.105,                0.86519,                0.81041,                0.87999,                0.59203,                 1.1781,                0.74564,                 1.2378,              0.0087526,              0.0087526,              0.0087526
                     66,                0.93593,                0.59518,                 1.1027,                0.87498,                0.80963,                0.88161,                0.59791,                 1.1529,                0.71354,                 1.2046,              0.0087328,              0.0087328,              0.0087328
                     67,                0.91084,                0.58654,                 1.0857,                0.86059,                0.82207,                0.88272,                 0.6037,                  1.126,                0.69693,                  1.196,               0.008713,               0.008713,               0.008713
                     68,                0.91108,                0.57689,                 1.0905,                0.88245,                0.79409,                0.87479,                 0.5932,                 1.1559,                0.69562,                 1.2351,              0.0086932,              0.0086932,              0.0086932
                     69,                0.92366,                0.59356,                 1.0963,                0.86433,                0.83061,                0.88305,                0.58233,                 1.1792,                0.69853,                 1.2366,              0.0086734,              0.0086734,              0.0086734
                     70,                0.93414,                0.59677,                 1.1012,                0.88979,                0.83061,                0.90036,                 0.6163,                 1.1259,                0.64694,                 1.2076,              0.0086536,              0.0086536,              0.0086536
                     71,                 0.9237,                0.58078,                 1.0953,                0.87371,                0.81041,                0.88802,                 0.6049,                 1.1457,                0.68366,                 1.2088,              0.0086338,              0.0086338,              0.0086338
                     72,                0.91362,                0.58019,                 1.0897,                0.89637,                0.79978,                0.88664,                0.60687,                 1.1401,                0.69524,                 1.2019,               0.008614,               0.008614,               0.008614
                     73,                 0.9101,                0.57423,                 1.0874,                0.87896,                0.82673,                0.88962,                0.60674,                 1.1514,                0.66917,                 1.2227,              0.0085942,              0.0085942,              0.0085942
                     74,                0.90285,                0.58105,                 1.0865,                0.87078,                 0.8482,                0.90521,                0.61538,                 1.1357,                0.64725,                 1.2193,              0.0085744,              0.0085744,              0.0085744
                     75,                0.90016,                0.57644,                 1.0843,                0.88742,                0.80575,                0.88734,                0.60053,                 1.1362,                0.67188,                 1.2072,              0.0085546,              0.0085546,              0.0085546
                     76,                0.89615,                0.55966,                  1.077,                0.87571,                 0.8244,                0.88318,                0.59787,                 1.1567,                  0.676,                 1.2107,              0.0085348,              0.0085348,              0.0085348
                     77,                0.89417,                0.56357,                  1.077,                0.89172,                0.81264,                0.88771,                 0.5908,                 1.1769,                0.69085,                 1.2322,               0.008515,               0.008515,               0.008515
                     78,                0.88917,                0.55998,                 1.0767,                 0.8928,                 0.8154,                0.89611,                0.60896,                 1.1676,                 0.6577,                 1.2259,              0.0084952,              0.0084952,              0.0084952
                     79,                0.89847,                0.55679,                 1.0758,                0.89288,                0.83061,                0.89662,                0.61933,                 1.1262,                0.64214,                 1.2265,              0.0084754,              0.0084754,              0.0084754
                     80,                0.88733,                0.55837,                 1.0724,                0.88569,                0.80886,                 0.8918,                0.61801,                 1.1246,                0.66642,                 1.1951,              0.0084556,              0.0084556,              0.0084556
                     81,                0.88897,                0.55597,                 1.0754,                0.88771,                0.82595,                0.89888,                 0.6246,                 1.0989,                0.63418,                 1.1967,              0.0084358,              0.0084358,              0.0084358
                     82,                0.88029,                0.55674,                 1.0765,                0.88475,                0.84305,                0.90194,                0.61882,                 1.1406,                 0.6543,                 1.2217,               0.008416,               0.008416,               0.008416
                     83,                0.87279,                0.55761,                 1.0717,                0.85477,                 0.8323,                0.88682,                0.61282,                 1.1339,                0.66007,                 1.2125,              0.0083962,              0.0083962,              0.0083962
                     84,                0.88867,                0.55379,                 1.0704,                0.89241,                0.83136,                0.89856,                0.61419,                 1.1235,                0.65453,                 1.2262,              0.0083764,              0.0083764,              0.0083764
                     85,                0.86757,                0.55194,                 1.0709,                0.89636,                0.83329,                0.90162,                 0.6227,                  1.141,                0.64796,                 1.2161,              0.0083566,              0.0083566,              0.0083566
                     86,                0.87262,                0.55586,                 1.0617,                0.89743,                0.82937,                  0.902,                0.61325,                 1.1361,                0.63359,                 1.2132,              0.0083368,              0.0083368,              0.0083368
                     87,                0.86177,                0.54888,                 1.0621,                0.88656,                 0.8143,                0.88882,                0.60195,                 1.1399,                0.69236,                 1.2302,               0.008317,               0.008317,               0.008317
                     88,                0.87629,                0.54855,                  1.066,                0.90117,                0.80765,                0.89115,                0.61577,                 1.1221,                0.66142,                 1.2057,              0.0082972,              0.0082972,              0.0082972
                     89,                0.85277,                0.53734,                 1.0623,                0.89089,                0.83994,                0.90818,                0.62327,                 1.1253,                0.63396,                 1.2117,              0.0082774,              0.0082774,              0.0082774
                     90,                0.84981,                0.53109,                 1.0565,                0.89034,                0.85315,                0.90821,                0.62512,                 1.1374,                0.62089,                 1.2045,              0.0082576,              0.0082576,              0.0082576
                     91,                0.86924,                0.53449,                 1.0668,                0.89498,                0.84093,                0.90399,                0.62832,                 1.1052,                 0.6305,                 1.2061,              0.0082378,              0.0082378,              0.0082378
                     92,                0.87477,                0.54961,                 1.0719,                0.87631,                0.83061,                0.89641,                0.62259,                 1.1165,                0.63158,                  1.187,               0.008218,               0.008218,               0.008218
                     93,                0.86605,                0.53245,                 1.0594,                0.90638,                0.83528,                0.90579,                0.62193,                 1.1367,                0.64265,                 1.2049,              0.0081982,              0.0081982,              0.0081982
                     94,                0.84865,                0.53133,                 1.0586,                0.87101,                0.85315,                0.90384,                0.62863,                 1.1089,                0.61523,                 1.2046,              0.0081784,              0.0081784,              0.0081784
                     95,                0.85978,                0.53094,                 1.0598,                0.86736,                0.82284,                0.88211,                0.59919,                   1.18,                 0.6962,                 1.2499,              0.0081586,              0.0081586,              0.0081586
                     96,                 0.8477,                0.53404,                 1.0554,                0.89512,                0.83556,                0.90318,                0.62792,                 1.1017,                0.63252,                 1.1882,              0.0081388,              0.0081388,              0.0081388
                     97,                0.85428,                0.53443,                 1.0586,                0.88492,                0.83049,                0.89506,                0.62334,                 1.1031,                0.63309,                 1.1928,               0.008119,               0.008119,               0.008119
                     98,                0.85455,                0.52013,                  1.057,                0.90788,                0.84234,                0.90551,                0.62141,                 1.1036,                0.62897,                 1.1952,              0.0080992,              0.0080992,              0.0080992
                     99,                0.83288,                0.51661,                 1.0499,                0.89457,                0.82051,                0.89298,                0.62265,                 1.1017,                0.67334,                 1.2205,              0.0080794,              0.0080794,              0.0080794
                    100,                0.84713,                0.52968,                 1.0563,                0.90488,                0.80342,                0.88022,                0.61116,                 1.1203,                0.69906,                 1.2084,              0.0080596,              0.0080596,              0.0080596
                    101,                0.83086,                0.51212,                 1.0491,                0.89291,                 0.8244,                0.89148,                0.61766,                 1.1148,                0.64494,                 1.2158,              0.0080398,              0.0080398,              0.0080398
                    102,                0.84375,                0.51339,                 1.0533,                0.88746,                0.84558,                0.91023,                 0.6335,                 1.1138,                0.60497,                  1.206,                0.00802,                0.00802,                0.00802
                    103,                0.83037,                0.51565,                  1.049,                0.89364,                0.85237,                0.91376,                0.63868,                 1.1157,                0.59457,                 1.1996,              0.0080002,              0.0080002,              0.0080002
                    104,                0.83343,                0.51259,                 1.0499,                0.88848,                0.82828,                0.89322,                0.61473,                 1.1262,                0.64234,                 1.2164,              0.0079804,              0.0079804,              0.0079804
                    105,                0.81659,                0.50648,                  1.039,                0.89633,                0.84649,                0.90335,                0.63141,                  1.101,                0.62097,                 1.1863,              0.0079606,              0.0079606,              0.0079606
                    106,                0.84239,                0.52001,                 1.0434,                0.89993,                 0.8446,                0.90589,                0.63794,                 1.0919,                0.61757,                 1.1878,              0.0079408,              0.0079408,              0.0079408
                    107,                0.83016,                0.50617,                 1.0453,                0.92025,                0.81197,                0.90291,                0.61987,                 1.1236,                0.64732,                 1.2165,               0.007921,               0.007921,               0.007921
                    108,                0.82181,                0.50386,                 1.0459,                0.90364,                0.84848,                0.90969,                0.63157,                 1.1118,                0.62255,                  1.201,              0.0079012,              0.0079012,              0.0079012
                    109,                0.81869,                0.50917,                 1.0394,                0.88275,                0.83072,                0.89288,                0.61389,                 1.1484,                0.63994,                 1.2137,              0.0078814,              0.0078814,              0.0078814
                    110,                0.80409,                0.50268,                 1.0325,                0.88769,                0.84382,                0.89528,                0.61666,                 1.1312,                 0.6167,                 1.2087,              0.0078616,              0.0078616,              0.0078616
                    111,                0.82661,                0.50438,                 1.0401,                0.90363,                0.85781,                0.91634,                 0.6405,                 1.1052,                0.58126,                 1.1854,              0.0078418,              0.0078418,              0.0078418
